movieId,title,posterUrl,rtScore,imdbScore,rating,runtime,studio,boxOffice,releaseDate
22,Men in Black 3,http://resizing.flixster.com/aD0vhqdMHlg0_H5kGKx7lR_1LHU=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/80/11168038_ori.jpg,6.1,6.9,PG-13,106,Columbia,"$624,026,776.00 ",25-May-12
23,Skyfall,http://resizing.flixster.com/r-jHJnq7IkHekLIFY6DWq7SzqZ8=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/82/11168295_ori.jpg,8.2,7.8,PG-13,143,MGM / Columbia,"$1,108,561,013.00 ",09-Nov-12
24,The Amazing Spider-Man,http://resizing.flixster.com/NPbllUZcrY9PEkGNHGxKBIgFdq8=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/74/11167406_ori.jpg,6.7,7.1,PG-13,136,Columbia,"$757,930,663.00 ",03-Jul-12
25,The Avengers,http://resizing.flixster.com/OmSu9IRUNKgrdmyE2uNhf0f0ToE=/180x266/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/38/11163886_ori.jpg,8,8.2,PG-13,143,Marvel Studios,"$1,518,594,910.00 ",04-May-12
26,The Dark Knight Rises,http://resizing.flixster.com/_7NLUQGoKyQuOq7uhhARpzeku04=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/78/11167835_ori.jpg,8,8.5,PG-13,165,Warner Bros. / Legendary,"$1,084,439,099.00 ",20-Jul-12
27,The Hobbit: An Unexpected Journey,http://resizing.flixster.com/vUOEhpcoaWV4JU5YM2dnlgTRyFo=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/17/02/11170263_ori.jpg,6.6,8,PG-13,169,Warner Bros. / MGM / New Line,"$1,017,003,568.00 ",14-Dec-12
28,The Hunger Games,http://resizing.flixster.com/ojHrfHgQ7Z6zwJ9O0GlmvI_Y-6Y=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/17/36/11173667_ori.jpg,7.2,7.3,PG-13,142,Lionsgate,"$691,247,768.00 ",23-Mar-12
29,The Twilight Saga: Breaking Dawn - Part 2,http://resizing.flixster.com/9zWAe7c1MPnVtaic66WXWomIkmI=/179x257/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/93/11169337_ori.jpg,5.2,5.6,PG-13,115,Lionsgate / Summit,"$829,685,377.00 ",16-Nov-12
30,Cars 2,http://resizing.flixster.com/2EEq8Qjx4aMkNdwlLypKTtnT1X4=/180x267/dkpu1ddg7pbsk.cloudfront.net/movie/11/15/64/11156447_ori.jpg,5.5,6.3,G,106,Walt Disney Pictures / Pixar,"$559,852,396.00 ",24-Jun-11
31,Fast Five,http://resizing.flixster.com/PzlJtyZZ_remAtYbrQ2_9t64B6k=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/17/30/11173000_ori.jpg,6.4,7.3,PG-13,131,Universal,"$626,137,675.00 ",29-Apr-11
32,Harry Potter and the Deathly Hallows - Part 2,http://resizing.flixster.com/jfPLvubmRh830uyxPTHQ1-hgj9I=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/36/11163675_ori.jpg,8.3,8.1,PG-13,130,Warner Bros.,"$1,341,511,219.00 ",15-Jul-11
33,Kung Fu Panda 2,http://resizing.flixster.com/dJ62KC8VCmLwVq0045kP0a0RvEE=/173x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/15/66/11156693_ori.jpg,6.9,7.3,PG,91,Paramount / DreamWorks,"$665,692,281.00 ",26-May-11
34,Mission: Impossible - Ghost Protocol,http://resizing.flixster.com/mkSB3etRkGB2js2wVcXWHBFXcag=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/91/11169152_ori.jpg,7.7,7.4,PG-13,133,Paramount,"$694,713,380.00 ",21-Dec-11
35,Pirates of the Caribbean: On Stranger Tides,http://resizing.flixster.com/ucRrnQabHP8_IXOYKx55D8YB_oU=/180x267/dkpu1ddg7pbsk.cloudfront.net/movie/11/15/67/11156760_ori.jpg,5.1,6.7,PG-13,136,Walt Disney Pictures,"$1,045,713,802.00 ",20-May-11
36,The Hangover Part II,http://resizing.flixster.com/lOJRA6ho5TdqrP7tETMQp5vnFsM=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/36/11163671_ori.jpg,5,6.5,R,102,Warner Bros.,"$586,764,305.00 ",26-May-11
37,The Smurfs,http://resizing.flixster.com/s5fZNIM3cQjt9AM6y_VC3jt1syc=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/36/11163657_ori.jpg,4,5.5,PG,103,Columbia / Sony Pictures,"$563,749,323.00 ",29-Jul-11
38,The Twilight Saga: Breaking Dawn - Part 1,http://resizing.flixster.com/l1HT4QSzRvdN4bcF0dsEpo3ywug=/179x257/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/93/11169336_ori.jpg,0,4.9,PG-13,117,Summit,"$712,171,856.00 ",18-Nov-11
